time,R3_x,R3_y,R3_x_diff,R3_y_diff,R3_x_diff2,R3_y_diff2,R4_x,R4_x_diff,R4_x_diff2,,,
0.000000,47.271900,12.500600,28.791700,62.831900,-964.744690,-0.020410,74.543900,57.589000,-1139.920000,,,
0.005000,47.403900,12.814600,23.961390,62.800800,-966.990000,-12.420100,74.817700,51.876200,-1144.800000,,,
0.010000,47.511600,13.128400,19.123600,62.707700,-967.923000,-24.808400,75.062700,46.143900,-1147.840000,,,
0.015000,47.595100,13.441580,14.284300,62.552700,-967.558000,-37.172100,75.279100,40.400900,-1149.060000,,,
0.020000,47.654500,13.753800,9.450120,62.336000,-965.911560,-49.499100,75.466800,34.656300,-1148.490000,,,
0.025000,47.689600,14.064800,4.627310,62.057800,-963.003000,-61.777300,75.625700,28.919000,-1146.160000,,,
0.030000,47.700800,14.374300,-0.177830,61.718300,-958.850000,-73.994500,75.756000,23.197500,-1142.120000,,,
0.035000,47.687900,14.681900,-4.959150,61.318000,-953.475000,-86.138710,75.857700,17.500500,-1136.410000,,,
0.040000,47.651200,14.987400,-9.710580,60.857100,-946.899000,-98.197900,75.931030,11.836200,-1129.050000,,,
0.045000,47.590900,15.290390,-14.426180,60.336200,-939.146000,-110.160000,75.976100,6.212710,-1120.090000,,,
0.050000,47.507030,15.590600,-19.100100,59.755700,-930.241000,-122.014000,75.993240,0.637930,-1109.570000,,,
0.055000,47.399940,15.887800,-23.726700,59.116200,-920.209000,-133.747000,75.982600,-4.880460,-1097.540000,,,
0.060000,47.269900,16.181700,-28.300400,58.418400,-909.077000,-145.348000,75.944500,-10.335000,-1084.050000,,,
0.065000,47.117000,16.471900,-32.815700,57.663000,-896.874000,-156.806000,75.879400,-15.718560,-1069.130000,,,
0.070000,46.941800,16.758200,-37.267380,56.850600,-883.629000,-168.109000,75.787500,-21.024100,-1052.850000,,,
0.075000,46.744500,17.040350,-41.650300,55.982170,-869.373000,-179.246000,75.669300,-26.244900,-1035.250000,,,
0.080000,46.525400,17.318000,-45.959480,55.058500,-854.139000,-190.206000,75.525200,-31.374500,-1016.390000,,,
0.085000,46.285000,17.590800,-50.190100,54.080400,-837.958740,-200.978000,75.355690,-36.406800,-996.323000,,,
0.090000,46.023700,17.858700,-54.337500,53.049000,-820.867000,-211.553000,75.161300,-41.335800,-975.101000,,,
0.095000,45.741800,18.121200,-58.397300,51.965200,-802.900000,-221.918000,74.942500,-46.156000,-952.784790,,,
0.100000,45.439800,18.378300,-62.365100,50.830200,-784.092000,-232.064240,74.699900,-50.861900,-929.434000,,,
0.105000,45.118290,18.629500,-66.236900,49.645000,-764.483000,-241.982000,74.434100,-55.448700,-905.109000,,,
0.110000,44.777600,18.874600,-70.008700,48.410800,-744.110000,-251.660080,74.145600,-59.911500,-879.872000,,,
0.115000,44.418400,19.113500,-73.676800,47.128800,-723.013000,-261.090240,73.835190,-64.246010,-853.787170,,,
0.120000,44.041000,19.345800,-77.237700,45.800300,-701.231000,-270.263000,73.503400,-68.448100,-826.918000,,,
0.125000,43.646200,19.571400,-80.688000,44.426600,-678.805000,-279.168000,73.150940,-72.514000,-799.329000,,,
0.130000,43.234400,19.790000,-84.024700,43.009100,-655.778000,-287.799000,72.778500,-76.440300,-771.088000,,,
0.135000,42.806100,20.001440,-87.244900,41.549100,-632.191000,-296.145000,72.386800,-80.223900,-742.260000,,,
0.140000,42.362100,20.205450,-90.345800,40.048100,-608.086000,-304.199000,71.976500,-83.862000,-712.913000,,,
0.145000,41.902900,20.401900,-93.325000,38.507610,-583.508000,-311.953000,71.548400,-87.352300,-683.116000,,,
0.150000,41.429100,20.590500,-96.180100,36.929100,-558.500000,-319.399000,71.103200,-90.692500,-652.934000,,,
0.155000,40.941300,20.771100,-98.909300,35.314100,-533.104000,-326.529000,70.641700,-93.881100,-622.437000,,,
0.160000,40.440200,20.943500,-101.511000,33.664300,-507.365000,-333.337860,70.164700,-96.916500,-591.692000,,,
0.165000,39.926400,21.107700,-103.982460,31.981300,-481.327000,-339.817000,69.672800,-99.797700,-560.765000,,,
0.170000,39.400600,21.263300,-106.323000,30.266700,-455.033000,-345.961000,69.167000,-102.524000,-529.724000,,,
0.175000,38.863380,21.410300,-108.532440,28.522300,-428.527000,-351.764000,68.647800,-105.095000,-498.633000,,,
0.180000,38.315500,21.548500,-110.608000,26.749700,-401.852000,-357.220000,68.116300,-107.510000,-467.558000,,,
0.185000,37.757500,21.677700,-112.551000,24.950700,-375.051000,-362.323000,67.573000,-109.771000,-436.562000,,,
0.190000,37.190200,21.797900,-114.359000,23.127000,-348.165000,-367.068000,67.018800,-111.876000,-405.707000,,,
0.195000,36.614200,21.909000,-116.032000,21.280600,-321.236000,-371.452000,66.454500,-113.828000,-375.052000,,,
0.200000,36.030090,22.010700,-117.571000,19.413130,-294.304000,-375.468140,65.880800,-115.627000,-344.655670,,,
0.205000,35.438700,22.103100,-118.975000,17.526520,-267.410000,-379.114000,65.298470,-117.275000,-314.575000,,,
0.210000,34.840600,22.186000,-120.245000,15.622600,-240.591000,-382.386200,64.708290,-118.773000,-284.862000,,,
0.215000,34.236400,22.259300,-121.382000,13.703300,-213.885000,-385.281000,64.111000,-120.124000,-255.570000,,,
0.220000,33.627000,22.323000,-122.384000,11.770400,-187.329000,-387.795000,63.507300,-121.330000,-226.746000,,,
0.225000,33.012800,22.377000,-123.255000,9.825970,-160.957000,-389.927000,62.897900,-122.393000,-198.436000,,,
0.230000,32.394600,22.421200,-123.994000,7.871810,-134.802000,-391.674000,62.283600,-123.315000,-170.684000,,,
0.235000,31.773100,22.455700,-124.604000,5.909880,-108.897000,-393.034000,61.665000,-124.101000,-143.528000,,,
0.240000,31.148800,22.480300,-125.084000,3.942120,-83.271600,-394.006000,61.042800,-124.752000,-117.005000,,,
0.245000,30.522500,22.495100,-125.436790,1.970460,-57.955000,-394.590000,60.417700,-125.272000,-91.148460,,,
0.250000,29.894700,22.500000,-125.664000,-0.003130,-32.974100,-394.784180,59.790300,-125.664230,-65.987600,,,
0.255000,29.266000,22.495050,-125.767000,-1.976730,-8.354290,-394.589000,59.161300,-125.933000,-41.548900,,,
0.260000,28.637200,22.480200,-125.748000,-3.948370,15.880920,-394.004000,58.531200,-126.081000,-17.854900,,,
0.265000,28.008700,22.455600,-125.609000,-5.916120,39.709700,-393.030000,57.900600,-126.113000,5.075160,,,
0.270000,27.381300,22.421100,-125.352000,-7.878030,63.111800,-391.669000,57.270200,-126.032000,27.225500,,,
0.275000,26.755400,22.376800,-124.979000,-9.832160,86.069200,-389.921000,56.640500,-125.842000,48.583800,,,
0.280000,26.131700,22.322800,-124.492000,-11.776600,108.565000,-387.788000,56.012000,-125.547000,69.141400,,,
0.285000,25.510700,22.259100,-123.894000,-13.709400,130.585000,-385.272000,55.385200,-125.152000,88.892800,,,
0.290000,24.892900,22.185700,-123.187000,-15.628700,152.116000,-382.376000,54.760600,-124.659000,107.836000,,,
0.295000,24.279000,22.102800,-122.373000,-17.532500,173.146000,-379.103000,54.138800,-124.074570,125.971000,,,
0.300000,23.669400,22.010410,-121.456200,-19.419090,193.665000,-375.456000,53.520000,-123.401000,143.303000,,,
0.305000,23.064600,21.908600,-120.438000,-21.286480,213.666000,-371.438000,52.904900,-122.643000,159.839000,,,
0.310000,22.465200,21.797600,-119.320000,-23.132900,233.142000,-367.054000,52.293800,-121.803970,175.588000,,,
0.315000,21.871600,21.677300,-118.107000,-24.956400,252.087000,-362.307190,51.687000,-120.888000,190.563000,,,
0.320000,21.284300,21.548100,-116.800430,-26.755300,270.498000,-357.203000,51.085000,-119.900000,204.778000,,,
0.325000,20.703700,21.409840,-115.403000,-28.527900,288.371000,-351.746000,50.488110,-118.842000,218.251160,,,
0.330000,20.130400,21.262800,-113.918000,-30.272200,305.707000,-345.943000,49.896700,-117.718000,231.001000,,,
0.335000,19.564700,21.107200,-112.347000,-31.986700,322.504000,-339.797000,49.311000,-116.532890,243.050000,,,
0.340000,19.007000,20.943000,-110.693000,-33.669600,338.763000,-333.317000,48.731500,-115.289000,254.421000,,,
0.345000,18.457870,20.770500,-108.960000,-35.319300,354.487000,-326.507000,48.158200,-113.990000,265.137000,,,
0.350000,17.917600,20.589900,-107.149000,-36.934170,369.677000,-319.376000,47.591640,-112.639000,275.226000,,,
0.355000,17.386500,20.401200,-105.264000,-38.512600,384.339000,-311.929000,47.031900,-111.238510,284.715000,,,
0.360000,16.865000,20.204800,-103.307000,-40.052900,398.477000,-304.174000,46.479300,-109.792000,293.633000,,,
0.365000,16.353500,20.000780,-101.280000,-41.553800,412.095000,-296.119000,45.934100,-108.303000,302.009000,,,
0.370000,15.852350,19.789300,-99.186890,-43.013600,425.199000,-287.771790,45.396370,-106.773000,309.872650,,,
0.375000,15.361800,19.570700,-97.029190,-44.431000,437.796600,-279.141000,44.866400,-105.205000,317.256000,,,
0.380000,14.882200,19.345100,-94.809800,-45.804600,449.894000,-270.234000,44.344400,-103.601000,324.191000,,,
0.385000,14.413800,19.112700,-92.531100,-47.132900,461.499000,-261.061000,43.830500,-101.964000,330.708740,,,
0.390000,13.956900,18.873900,-90.195600,-48.414800,472.620000,-251.629730,43.324800,-100.295000,336.842010,,,
0.395000,13.511920,18.628700,-87.805700,-49.648800,483.264000,-241.950000,42.827600,-98.596100,342.623230,,,
0.400000,13.079000,18.377400,-85.363700,-50.833900,493.441000,-232.032000,42.338900,-96.869200,348.085000,,,
0.405000,12.658400,18.120420,-82.872000,-51.968800,503.160000,-221.885000,41.858900,-95.115700,353.260000,,,
0.410000,12.250300,17.857800,-80.332900,-53.052400,512.429000,-211.519000,41.387760,-93.337000,358.181000,,,
0.415000,11.855100,17.590000,-77.748500,-54.083600,521.258000,-200.944550,40.925600,-91.534300,362.881000,,,
0.420000,11.472900,17.317100,-75.121000,-55.061500,529.657000,-190.171000,40.472500,-89.708500,367.391000,,,
0.425000,11.104000,17.039500,-72.452600,-55.985000,537.637000,-179.211000,40.028500,-87.860600,371.745000,,,
0.430000,10.748460,16.757300,-69.745300,-56.853300,545.207000,-168.073000,39.593900,-85.991300,375.974000,,,
0.435000,10.406600,16.471000,-67.001190,-57.665500,552.377000,-156.770000,39.168600,-84.101100,380.109000,,,
0.440000,10.078500,16.180800,-64.222200,-58.420700,559.159000,-145.311000,38.752900,-82.190300,384.182000,,,
0.445000,9.764410,15.886910,-61.410200,-59.118300,565.564000,-133.710000,38.346800,-80.259300,388.224000,,,
0.450000,9.464460,15.589700,-58.567200,-59.757610,571.602000,-121.976000,37.950400,-78.308100,392.267000,,,
0.455000,9.178790,15.289400,-55.694800,-60.337900,577.284000,-110.122000,37.563700,-76.336600,396.340000,,,
0.460000,8.907550,14.986400,-52.794900,-60.858700,582.623000,-98.159760,37.187000,-74.344600,400.473000,,,
0.465000,8.650880,14.680900,-49.869100,-61.319300,587.629000,-86.100300,36.820320,-72.331700,404.697000,,,
0.470000,8.408900,14.373300,-46.919140,-61.719500,592.315430,-73.955800,36.463700,-70.297400,409.041000,,,
0.475000,8.181730,14.063900,-43.946500,-62.058800,596.693000,-61.738400,36.117400,-68.241000,413.533000,,,
0.480000,7.969470,13.752800,-40.952700,-62.336800,600.776000,-49.460000,35.781400,-66.161800,418.204000,,,
0.485000,7.772240,13.440600,-37.939200,-62.553300,604.574890,-37.132900,35.455800,-64.058600,423.082000,,,
0.490000,7.590110,13.127400,-34.907400,-62.708100,608.104000,-24.769100,35.140820,-61.930600,428.194000,,,
