time,R3_x,R3_y,R3_x_diff,R3_y_diff,R3_x_diff2,R3_y_diff2
0,329.904,421.41,-213.165,55.0534,-203.501,-259.947
0.01,327.762,421.948,-215.193,52.4523,-202.18,-260.279
0.02,325.6,422.459,-217.209,49.8479,-200.846,-260.594
0.03,323.418,422.945,-219.21,47.2404,-199.5,-260.894
0.04,321.2158,423.404,-221.199,44.6301,-198.142,-261.1769
0.05,318.994,423.837,-223.173,42.017,-196.772,-261.444
0.06,316.752,424.244,-225.134,39.4013,-195.389,-261.695
0.07,314.491,424.625,-227.081,36.7831,-193.994,-261.93
0.08,312.211,424.98,-229.014,34.1627,-192.587,-262.149
0.09,309.911,425.309,-230.933,31.5402,-191.169,-262.352
0.1,307.592,425.611,-232.837,28.9157,-189.738,-262.538
0.11,305.254,425.8868,-234.727,26.2895,-188.296,-262.708
0.12,302.898,426.137,-236.603,23.6616,-186.843,-262.862
0.13,300.5224,426.36,-238.464,21.0323,-185.377,-263
0.14,298.1285,426.5572,-240.311,18.4017,-183.9007,-263.122
0.15,295.716,426.728,-242.142,15.7699,-182.413,-263.227
0.16,293.286,426.873,-243.9587,13.1372,-180.913,-263.316
0.17,290.837,426.991,-245.7603,10.5036,-179.403,-263.389
0.18,288.371,427.083,-247.547,7.8694,-177.881,-263.446
0.19,285.8862,427.148,-249.318,5.2348,-176.349,-263.486
0.2,283.384,427.187,-251.074,2.5998,-174.806,-263.511
0.21,280.865,427.2,-252.814,-0.0354,-173.252,-263.519
0.22,278.328,427.187,-254.539,-2.6706,-171.687,-263.51
0.23,275.774,427.147,-256.248,-5.3056,-170.111,-263.486
0.24,273.203,427.081,-257.941,-7.9402,-168.525,-263.445
0.25,270.615,426.988,-259.618,-10.5744,-166.929,-263.388
0.26,268.011,426.869,-261.279,-13.2079,-165.3225,-263.314
0.27,265.39,426.724,-262.925,-15.8406,-163.7058,-263.225
0.28,262.7524,426.552,-264.554,-18.4724,-162.079,-263.119
0.29,260.099,426.3544,-266.166,-21.1029,-160.442,-262.997
0.3,257.429,426.13,-267.762,-23.7322,-158.795,-262.859
0.31,254.744,425.8797,-269.342,-26.3601,-157.139,-262.704
0.32,252.042,425.603,-270.9051,-28.9863,-155.472,-262.533
0.33,249.326,425.3,-272.451,-31.6107,-153.797,-262.346
0.34,246.593,424.971,-273.981,-34.2331,-152.111,-262.143
0.35,243.846,424.615,-275.494,-36.8535,-150.416,-261.924
0.36,241.084,424.234,-276.989,-39.4716,-148.712,-261.6887
0.37,238.306,423.826,-278.468,-42.0872,-146.999,-261.437
0.38,235.514,423.392,-279.9292,-44.7003,-145.277,-261.169
0.39,232.708,422.932,-281.373,-47.3105,-143.546,-260.886
0.4,229.8868,422.446,-282.8001,-49.9179,-141.8057,-260.586
0.41,227.052,421.934,-284.209,-52.5222,-140.057,-260.27
0.42,224.203,421.395,-285.601,-55.1233,-138.299,-259.938
0.43,221.34,420.831,-286.975,-57.7209,-136.534,-259.59
0.44,218.463,420.241,-288.332,-60.315,-134.759,-259.226
0.45,215.573,419.625,-289.671,-62.9054,-132.976,-258.846
0.46,212.67,418.983,-290.991,-65.4919,-131.185,-258.45
0.47,209.753,418.315,-292.2942,-68.0743,-129.386,-258.0378
0.48,206.824,417.621,-293.579,-70.6526,-127.579,-257.61
0.49,203.882,416.902,-294.846,-73.2265,-125.765,-257.166
0.5,200.9272,416.1569,-296.0943,-75.7958,-123.942,-256.706
0.51,197.96,415.386,-297.325,-78.3605,-122.1117,-256.231
0.52,194.981,414.59,-298.5365,-80.9204,-120.274,-255.74
0.53,191.989,413.7677,-299.73,-83.4753,-118.429,-255.233
0.54,188.986,412.92,-300.9051,-86.025,-116.5762,-254.7099
0.55,185.9714,412.047,-302.062,-88.5694,-114.716,-254.171
0.56,182.945,411.149,-303.199,-91.1084,-112.85,-253.617
0.57,179.907,410.225,-304.319,-93.6417,-110.976,-253.0474
0.58,176.859,409.276,-305.419,-96.1693,-109.095,-252.462
0.59,173.799,408.302,-306.5,-98.6909,-107.208,-251.861
0.6,170.729,407.302,-307.563,-101.206,-105.314,-251.244
0.61,167.648,406.278,-308.607,-103.716,-103.414,-250.612
0.62,164.557,405.228,-309.631,-106.219,-101.507,-249.965
0.63,161.455,404.153,-310.6368,-108.715,-99.5938,-249.302
0.64,158.3441,403.0537,-311.623,-111.205,-97.6746,-248.624
0.65,155.223,401.929,-312.59,-113.687,-95.7493,-247.93
0.66,152.092,400.78,-313.538,-116.163,-93.8182,-247.221
0.67,148.952,399.606,-314.467,-118.6318,-91.8813,-246.497
0.68,145.803,398.407,-315.376,-121.093,-89.9387,-245.7577
0.69,142.645,397.184,-316.265,-123.5469,-87.9905,-245.003
0.7,139.478,395.936,-317.135,-125.993,-86.0369,-244.233
0.71,136.3022,394.664,-317.986,-128.432,-84.078,-243.449
0.72,133.118,393.368,-318.817,-130.862,-82.114,-242.649
0.73,129.926,392.047,-319.628,-133.284,-80.1448,-241.8343
0.74,126.726,390.702,-320.42,-135.699,-78.1708,-241.005
0.75,123.518,389.333,-321.192,-138.104,-76.1919,-240.16
0.76,120.302,387.94,-321.944,-140.502,-74.2083,-239.301
0.77,117.079,386.523,-322.676,-142.89,-72.2201,-238.4269
0.78,113.848,385.082,-323.388,-145.27,-70.2274,-237.538
0.79,110.611,383.618,-324.08,-147.641,-68.2305,-236.635
0.8,107.367,382.129,-324.753,-150.0029,-66.2293,-235.717
0.81,104.116,380.618,-325.405,-152.355,-64.224,-234.784
0.82,100.859,379.082,-326.037,-154.699,-62.2148,-233.837
0.83,97.5954,377.524,-326.649,-157.0322,-60.2018,-232.876
0.84,94.326,375.942,-327.241,-159.356,-58.185,-231.9
0.85,91.0507,374.3367,-327.813,-161.6701,-56.1646,-230.91
0.86,87.7698,372.708,-328.365,-163.974,-54.1408,-229.905
0.87,84.4834,371.0572,-328.896,-166.268,-52.1136,-228.887
0.88,81.1919,369.383,-329.407,-168.552,-50.0833,-227.854
0.89,77.8954,367.686,-329.8974,-170.8252,-48.0498,-226.807
0.9,74.594,365.967,-330.368,-173.088,-46.0133,-225.747
0.91,71.2881,364.224,-330.818,-175.34,-43.9741,-224.672
0.92,67.9777,362.46,-331.247,-177.5814,-41.9321,-223.583
0.93,64.6632,360.673,-331.656,-179.812,-39.8875,-222.481
0.94,61.3447,358.864,-332.045,-182.031,-37.8405,-221.365
0.95,58.0224,357.032,-332.413,-184.239,-35.7911,-220.235
0.96,54.6965,355.179,-332.761,-186.436,-33.7395,-219.092
0.97,51.3672,353.3037,-333.088,-188.621,-31.6859,-217.9354
0.98,48.0348,351.407,-333.395,-190.794,-29.6303,-216.765
0.99,44.6994,349.488,-333.681,-192.956,-27.5728,-215.582
1,41.3613,347.547,-333.946,-195.1059,-25.5137,-214.3848
